Species,BS,Ovol,Osurf,Othick,Sear,Sneck,Strunk,Sfleg,Shleg,Stail
Cordylus aridus,47.32,12.07,117.18,0.11,1.14,2.12,2,1.88,1.98,3.78
Cordylus minor,50.26,15.9,136.15,0.15,1.22,2.37,2.28,2.05,2.32,3.89
Cordylus imkeae,43.89,10.79,112.07,0.1,1.09,1.71,2.19,1.7,1.81,3.38
Cordylus mclachlani,50.68,13.79,125.72,0.13,1.28,2.22,2.52,2.42,2.4,4.23
Cordylus macropholis,53.67,22.07,148.2,0.25,1.49,2.19,3.47,1.89,2.05,3.82
Cordylus cordylus,55.13,14.97,110.84,0.16,1.18,2.49,2.88,2.3,2.47,4.9
Cordylus oelofseni,45.68,9.69,102.4,0.11,0.91,1.76,2.07,1.88,2.24,4.04
Cordylus niger,58.26,13.45,102.43,0.13,1.34,2.14,2.9,2.28,2.58,4.52
Cordylus jonesii,57.78,20.54,130.74,0.24,1.32,1.5,2.54,1.58,1.82,4.64
Cordylus vittifer,57.84,20.79,125.09,0.21,1.84,2.96,3.44,2.52,2.79,5.49
Namazonurus lawrenci,47.4,18.43,143.92,0.17,1.4,2.22,2.56,2.3,2.41,4.22
Namazonurus peersi,57.27,17.01,129.38,0.17,2.37,3.17,3.55,3.42,3.43,5.08
Hemicordylus capensis,68.85,3.15,37.19,0.1,1.45,0,0.23,1.96,2.2,3.76
Hemicordylus nebulosus,45.63,0.12,2.52,0.11,0.7,1.48,1.34,1.41,1.75,3.09
Ninurta coeruleopunctatus,52.35,1.41,20.56,0.1,1.02,1.5,1.67,1.3,1.81,2.77
Pseudocordylus langi,65.68,0,0,0,0.88,0.09,0,1.15,1.13,2.27
Pseudocordylus melanotus,87.08,0,0,0,1.77,0,0,1.79,2.17,4.32
Pseudocordylus transvaalensis,103.97,0,0,0,2.03,0,0,2.1,2.42,5.21
Pseudocordylus spinosus,57.24,0.5,7.44,0.11,1.38,0,1.08,1.37,1.63,3.53
Pseudocordylus subviridis,80.73,0,0,0,1.36,0,0,1.66,2.32,4.4
Pseudocordylus microlepidotus,97.08,0,0,0,2.59,0,0,2.28,2.31,5.47
Smaug breyeri,83.26,17.45,86.89,0.25,3.72,3.62,3.95,3.85,4.81,6.1
Smaug vandami,92.03,15.49,70.53,0.32,2.3,3.56,3.32,3.22,3.94,5.19
Smaug depressus,84.2,14.77,83.88,0.21,3.87,4.58,4.16,4.05,4.68,6.3
Smaug giganteus,129.4,52.91,120.92,0.63,5.1,7.86,5.94,6.47,6.52,11.81
Karusasaurus polyzonus,84.73,17.78,114.93,0.17,2.81,2.9,1.93,2.98,2.97,5.12
Ouroborus cataphractus,75.2,31.69,144.47,0.41,4.33,6.15,7.76,6.08,5.76,8.88
