Species,Python natalensis,Bitis albanica ,Bitis arietans arietans ,Bitis armata ,Bitis atropos,Bitis caudalis ,Bitis cornuta ,Bitis gabonica ,Bitis rubida ,Bitis schneideri ,Bitis xeropaga ,Causus defilippii ,Causus rhombeatus ,Amblyodipsas concolor,Amblyodipsas microphthalma  ,Amblyodipsas polylepis ,Aparallactus capensis ,Aparallactus lunatus lunatus ,Atractaspis bibronii,Atractaspis duerdeni ,Homoroselaps dorsalis ,Homoroselaps lacteus ,Macrelaps microlepidotus,Xenocalamus bicolor ,Xenocalamus transvaalensis,Boaedon capensis ,Gonionotophis capensis capensis ,Gonionotophis nyassae ,Inyoka swazicus,Lamprophis aurora ,Lamprophis fiskii,Lamprophis fuscus ,Lamprophis guttatus ,Lycodonomorphus inornatus,Lycodonomorphus laevissimus ,Lycodonomorphus obscuriventris,Lycodonomorphus rufulus,Lycophidion capense capense ,Lycophidion pygmaeum,Lycophidion variegatum,Dipsina multimaculata ,Hemirhagerrhis nototaenia,Psammophis angolensis ,Psammophis brevirostris ,Psammophis crucifer,Psammophis jallae,Psammophis leightoni ,Psammophis mossambicus ,Psammophis notostictus ,Psammophis subtaeniatus,Psammophis trigrammus,Psammophylax rhombeatus rhombeatus,Psammophylax tritaeniatus,Rhamphiophis rostratus,Amplorhinus multimaculatus,Duberria lutrix lutrix,Duberria variegata,Prosymna bivittata ,Prosymna frontalis,Prosymna janii,Prosymna lineata,Prosymna stuhlmannii,Prosymna sundevallii,Pseudaspis cana ,Aspidelaps lubricus lubricus ,Aspidelaps scutatus ,Dendroaspis angusticeps ,Dendroaspis polylepis,Elapsoidea boulengeri ,Elapsoidea sundevallii ,Hemachatus haemachatus ,Naja annulifera ,Naja melanoleuca ,Naja mossambica,Naja nigricincta woodi ,Naja nivea,Hydrophis platurus ,Crotaphopeltis hotamboeia ,Dasypeltis inornata,Dasypeltis medici,Dasypeltis scabra,Dipsadoboa aulica,Dispholidus typus,Meizodon semiornatus semiornatus,Philothamnus angolensis ,Philothamnus hoplogaster ,Philothamnus natalensis ,Philothamnus semivariegatus ,Telescopus beetzii ,Telescopus semiannulatus polystictus,Thelotornis capensis capensis,Natriciteres sylvatica ,Pandion haliaetus ,Aviceda cuculoides ,Pernis apivorus ,Macheiramphus alcinus ,Elanus caeruleus,Milvus migrans ,Haliaeetus vocifer ,Gypohierax angolensis ,Gypaetus barbatus ,Neophron percnopterus  ,Necrosyrtes monachus ,Gyps africanus,Gyps coprotheres ,Aegypius tracheliotus,Aegypius occipitalis ,Circaetus pectoralis,Circaetus cinereus ,Circaetus fasciolatus ,Terathopius ecaudatus,Polyboroides typus ,Circus maurus,Circus macrourus ,Circus pygargus,Circus ranivorus ,Circus aeruginosus ,Micronisus gabar,Melierax metabates ,Melierax canorus,Accipiter tachiro,Accipiter badius ,Accipiter minullus,Accipiter ovampensis,Accipiter rufiventris ,Accipiter melanoleucus,Kaupifalco monogrammicus,Buteo buteo vulpinus,Buteo rufinus,Buteo rufofuscus ,Aquila rapax ,Aquila nipalensis ,Aquila verreauxii ,Aquila spilogaster,Hieraaetus pennatus,Hieraaetus ayresii ,Lophaetus occipitalis ,Stephanoaetus coronatus,Polemaetus bellicosus ,Sagittarius serpentarius ,Polihierax semitorquatus,Falco naumanni,Falco tinnunculus ,Falco rupicoloides,Falco dickinsoni ,Falco vespertinus ,Falco amurensis ,Falco concolor,Falco subbuteo ,Falco cuvierii ,Falco biarmicus ,Falco peregrinus ,Falco fasciinucha,Tyto alba ,Tyto capensis ,Asio capensis ,Strix woodfordii ,Glaucidium perlatum ,Glaucidium capense ,Otus senegalensis,Ptilopsis granti ,Bubo lacteus,Bubo africanus ,Bubo capensis,Scotopelia peli ,Corvus capensis ,Corvus albus,Corvus albicollis ,Corvus splendens ,Caracal caracal,Felis silvestris lybica ,Felis nigripes ,Leptailurus serval ,Civettictis civetta ,Genetta genetta ,Genetta tigrina ,Genetta maculata ,Suricata suricatta,Paracynictis selousi ,Cynictis penicillata ,Herpestes ichneumon,Galerella sanguinea ,Galerella pulverulenta ,Rhynchogale melleri,Ichneumia albicauda,Atilax paludinosus ,Mungos mungo ,Helogale parvula ,Otocyon megalotis ,Vulpes chama ,Canis adustus ,Canis mesomelas ,Mellivora capensis ,Poecilogale albinucha,Ictonyx striatus ,Civettictis civetta 
Cordylus aridus,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.075460791,0.231664208,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0.906461001,0,1,0,1,1,0,1,0,0.494655093,0.971406447,0,1,1,0.490364115,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0.865565353,1,1,0,1,1,0.99301859,0,1,1,1,1,0,1,0.80861666,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0
Cordylus cordylus,0,0.00997317,0.969697896,0.093716461,0.932012321,0.504578066,0.118757423,0,0.150986859,0,0,0,0.480849717,0,0,0,0.147760457,0,0,0,0,0.999379077,0.000318112,0,0,0.903796181,0,0,0,0.978485744,0.213244329,0.812002476,0.948207082,0.981068895,0.106192753,0,0.975785422,0.311642058,0,0,0.260819199,0,0,0,0.9957968,0,0.085200211,0,0.957621428,0,0,0.994179909,0,0,0.82943459,0.993122777,0,0,0,0,0,0,0.92441096,0.995634851,0.795765713,0,0,0,0,0,0.677986726,0,0,0,0.0971576,0.997396098,0.64050183,0.983306364,0.091290238,0,0.973470065,0,0.987201415,0,0,0.406898176,0.319152484,0.160177318,0.151572229,0,0,0,0.999010904,0.245311828,0.400616482,0,0.999010448,0.99901074,0.99901101,0.206184419,0.446933339,0.305051178,0.069839236,0,0.997788953,0.436651145,0,0.958956756,0,0,0,0.871466371,0.999010554,0.359793659,0,0.70014085,0,0.701915,0,0.999010771,0.528598202,0,0.410213427,0,0.238370723,0.54314702,0,0.984301582,0.999010828,0.358687241,0.198327964,0,0.999010582,0,0.999010701,0,0.446923174,0.196015056,0.999010498,0.99901073,0,0.999009951,0.999010701,0.522516538,0,0,0.276984571,0,0.191587706,0,0.999010687,0.70551776,0,0.999010345,0.010528006,0.464985212,0.384609399,0,0.062492589,0.200810524,0.055724185,0.297740948,0.999010828,0.999010828,0,0.863019801,0.948212553,0.802525698,0.006763659,0.994639601,0.999212914,0.785522801,0.826700738,0,0.981643568,0.499621333,0,0.668424075,0,0.965543705,0.264137711,0,0.999212104,0,0.173640492,0.605901915,0,0,0.925520334,0.931586332,0,0.999212914,0.999212924,0.799672886,0.999212104,0
Cordylus imkeae,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0
Cordylus jonesii,1,0,1,0,0.404245954,0.593508224,0,0,0,0,0,0.675432293,0.715997251,0.219456578,0.287491841,0.761676272,0.998002337,0.171250744,0.95469388,0.047292682,0.387187207,0.057692305,0,0.993699765,0.108875606,1,0.571575287,0.774688959,0.081695051,0.392871184,0,0.027193288,0.529676727,0.582730959,0.145354742,0.030156049,0.920911927,0.928680631,0.002954612,0.427680935,0,0.712869925,0.564542444,0.828716886,0.448996967,0.192285307,0,0.47103029,0,0.972336582,0,0.520470428,0.947899318,0.736683612,0.187244071,0.3978987,0.000347105,0.925948233,0,0,0.540215785,0.343607547,0.267387096,0.81067049,0,0.944894451,0.00073203,0.939401295,0.755285917,0.966133672,0.259016074,0.969658493,0.000723251,0.980780706,0,0,0,1,0.224662851,0.001974251,1,0.157139392,1,0.242221596,0.057279126,0.71440021,0.805621708,0.999054706,0,1,0.777310802,0.000382784,0.999494735,0.538312464,0.936005195,0.640553156,0.999494735,0.999494735,0.999494735,0.352708507,0.062076588,0.005082598,0.701608671,0.900926836,0.999460006,0.862663161,0.338541643,0.649272706,0.914420433,0.002522725,0.539154724,0.999494735,0.018248366,0.84889187,0.844165159,0.812405819,0.408937836,0.890143588,0.323956011,0.466274919,0.673948743,0.949237545,0.407231697,0.83231022,0.139763943,0.999494735,0.498358799,0.999494735,0.808138918,0.192019983,0.733004391,0.675759246,0.961049498,0.79120592,0.999494735,0.941533389,0.23270302,0.323664573,0.999494735,0.999494735,0.047187193,0.999494735,0.999494735,0.542294348,0.247776725,0.683255663,0.999494735,0.002939814,0.779984013,0.029890355,0.999494735,0.301291393,0.029329108,0.999494735,0.650300367,0.999494735,0.554269138,0.999494735,0.38353047,0.754178319,0.999494735,0.999494735,0.999494735,0.730173869,0.079133168,0.533704015,0.997779606,0.249894652,0,1,1,0.798958672,0.991567195,0.860773747,0.98175001,0,0.552240656,0.204553193,0.311393288,0.606412005,0.0066578,1,0.001736183,0.134621941,0.673624006,0.999809047,0.991619966,0.647500122,0.403263139,0.588632781,0.208673003,1,1,0.88989479,1,0.558064592
Cordylus macropholis,0,0,0.127360785,0.017740801,0,0,0.999999974,0,0,0.011417525,0,0,0,0,0,0,0,0,0,0,0,0.916122959,0,0,0,0,0,0,0,0.505484681,0,0,0.93177321,0,0,0,0,0,0,0,0,0,0,0,0.911119342,0,0.842235158,0,0.994652989,0,0,0.490009739,0,0,0,0.357327849,0,0,0,0,0,0,0,0.952043895,0.56177402,0,0,0,0,0,0,0,0,0,0.185130906,0.999290161,0.706777358,0.126639572,0,0,0.146658984,0,0.423966672,0,0,0,0,0,0,0,0,0,0.978989339,0,0,0,0.978977774,0.978994268,0.978281272,0,0,0,0,0,0.940075184,0,0,0.978918616,0,0,0,0.930779424,0.978984416,0,0,0.968286897,0,0,0,0.978984619,0.869160066,0,0,0,0,0.952630189,0,0.263215376,0.978990091,0,0,0,0.979008857,0,0.978994268,0,0.122332242,0,0.978996484,0.979012738,0,0.978924345,0.978994268,0.13676079,0,0,0,0,0,0,0.978989357,0.968283773,0,0.978984883,0,0,0,0,0,0,0,0,0.978990091,0.978990091,0,0.979001975,0.978989446,0.931339815,0,0.984546736,0.984905391,0.092243756,0.984905244,0,0.984861407,0.887064717,0,0.984861407,0,0.957282127,0.984722685,0,0.984864344,0,0,0.955222759,0,0,0.98490535,0.984905169,0,0.984905413,0.984905245,0,0.984864344,0
Cordylus mclachlani,0,0,1,0,0.264662685,0.207531097,1,0,0.346400974,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.869015862,1,0,1,0.552471842,0,0,0.563851865,0,0,0,0.841699249,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.415373183,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.097469596,1,0,0,1,0,1,0,0,0,0,0,0.618628819,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.680412165,1,0,0,0.243992488,0,0,0,1,0.211606462,0,0,0,0.220382274,0.356780701,0,1,1,0.006142164,0,0,1,0,1,0,0.604447287,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0.490152558,0,1,1,1,0.94253189,0,1,0.292012918,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0
Cordylus minor,0,0,1,0,1,0.809279882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.958169034,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0.707620816,0,0,0,1,0,0,0,1,1,1,0,0.108954798,0.157040764,0,0,1,0.261439245,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.096475554,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.859732468,0,1,0,0,0,0,0,0,0,0,1,1,0,0.261140282,1,1,0,1,1,1,1,0,1,0.998174403,0,1,0,1,0,0,1,0,0,0.594074273,0,0,1,1,0,1,1,1,1,0
Cordylus niger,0,0,0,0.733924136,0,0,0.885348929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97940239,0,0,0,0,0,0,0,0.713872197,0,0.205225897,0.681413602,0.298371566,0,0,0.11638045,0,0,0,0,0,0,0,0.848676484,0,0.74661642,0,0.965663246,0,0,0.631419341,0,0,0.265837867,0.966710996,0,0,0,0,0,0,0,0.735431084,0.618139063,0,0,0,0,0,0,0,0,0,0.072868348,0.99677402,0.884973309,0.119633939,0,0,0,0,0.314648404,0,0,0,0,0,0,0,0,0,0.97916941,0,0.681802577,0,0.979160266,0.979182187,0.97918685,0,0.025459611,0,0,0,0.979169109,0,0,0.979099834,0,0,0,0.979179951,0.979169109,0,0,0.979187639,0,0,0,0.979185869,0.979292348,0,0,0,0,0.979169109,0,0.084415322,0.979183723,0.279957478,0,0,0.979179271,0,0.979182187,0,0,0,0.979169489,0.979179951,0,0.97912938,0.979182187,0,0,0,0,0,0,0,0.979179113,0.979182187,0,0.979167335,0,0.267562998,0.323198676,0,0,0,0,0.25913736,0.979183723,0.979183723,0,0.979166363,0.97918381,0.979187639,0,0.980311615,0.981156557,0,0.981156556,0,0.981174371,0.981182214,0,0.244898928,0,0.981183314,0.981010476,0,0.981182214,0,0,0.963042813,0,0,0.981155987,0.981155426,0,0.981156557,0.981156557,0,0.981182214,0
Cordylus oelofseni,0,0,1,0.418437345,0.593192847,0,0.975036426,0,0.097338886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.215567443,0,0,0,1,0.243160416,0.331701152,1,1,0,0,0.997096677,0,0,0,0,0,0,0,1,0,0.799696836,0,1,0,0,1,0,0,0.457511786,1,0,0,0,0,0,0,0.512293085,1,0.999194461,0,0,0,0,0,0,0,0,0,0.802855904,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.367503813,0,1,1,1,0,0.290257999,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0.206098439,1,0,1,1,0.897536783,0,0,1,0,1,0,0.280806622,0,1,1,0,1,1,0.425751649,0,0,0,0,0,0,1,1,0,1,0,0.155928281,0.234139347,0,0,0,0,0.153253579,1,1,0,1,1,1,0.089717774,1,1,0.506449887,1,0,1,1,0,0.402799664,0,1,0.300744224,0,1,0,0,1,0,0,1,1,0,1,1,0.426538416,1,0
Cordylus vittifer,1,0,1,0,0.640234785,0.466008555,0,0.000156242,0,0,0,0.511979542,0.961009824,0.309489187,0.140976272,0.739630789,1,0.051779647,1,0.035541749,0.665381222,0.411952652,0.059584665,0.964274521,0.085224663,1,0.696424967,0.675216202,0.061396075,0.732787161,0,0.235062172,0.814388984,0.870550181,0.437258915,0.010815159,1,1,0.018485126,0.256899123,0,0.36194605,0.328807375,1,0.766122831,0.115928465,0,0.500857327,0,0.562297043,0,0.838014111,0.840080339,0.435466311,0.520370017,0.737258206,0.010939614,0.874885601,0,0,0.310110181,0.204025792,0.377937101,0.979964757,0,0.510996099,0.028294267,0.853875005,0.438800984,0.995756189,0.625962425,0.769067396,0.027368729,0.922794019,0,0,0,1,0.454444498,0.009398918,1,0.090745416,1,0.105728298,0.035208455,0.903109599,0.969700522,1,0,0.993102831,0.726440323,0.002767427,0.999841986,0.388551017,0.615864245,0.302551989,0.999841986,0.999841986,0.999841986,0.392438047,0.187441808,0.137283781,0.380925445,0.789408247,0.999300792,0.71139029,0.382451823,0.493937291,0.658214902,0.02718211,0.248133991,0.999841986,0.382825171,0.716778062,0.739059649,0.970775488,0.178460546,0.668367027,0.114626873,0.308627715,0.448865766,0.742972784,0.206516005,0.427952411,0.21671544,0.999841986,0.260378914,0.999841986,0.937099321,0.280958389,0.591673811,0.335764433,0.861622969,0.470076506,0.999841986,0.534409305,0.190014453,0.285947421,0.999841986,0.999841986,0.086226383,0.999841986,0.999841986,0.637504614,0.072592006,0.624505442,0.999841986,0.017871635,0.491471945,0,0.999841986,0.184619108,0.02204163,0.999841986,0.86275541,0.999841986,0.434848817,0.907563184,0.134455448,0.50885041,0.999841986,0.751781325,0.999841986,0.915691453,0.046141395,0.841604126,0.936005979,0.34918549,0,0.970169181,1,0.865149236,0.997770665,0.510032471,0.886170645,0,0.445871397,0.444617985,0.095680191,0.854930273,0.048227759,0.999728639,0.077332173,0.034126939,0.868931001,1,0.684598708,0.311053598,0.302031115,0.781353578,0.089276192,1,1,0.97438803,1,0.242139479
