species,reproductive.mode,Mass,Forage mode
Acanthocercus_atricollis,Oviparous,100.9,sit and wait
Acanthodactylus_beershebensis,Oviparous,69.2,widely foraging
Acanthodactylus_boskianus,Oviparous,73.7,widely foraging
Acanthodactylus_erythrurus,Oviparous,81,mixed
Acanthodactylus_pardalis,Oviparous,84,sit and wait
Acanthodactylus_schreiberi,Oviparous,101.1,widely foraging
Acanthodactylus_scutellatus,Oviparous,67.2,mixed
Acontias_gariepensis,Viviparous,205.7,widely foraging
Aeluroscalabotes_felinus,Oviparous,147.8,sit and wait
Agama_aculeata,Oviparous,79.1,sit and wait
Agama_agama,Oviparous,91.6,sit and wait
Agama_hispida,Oviparous,85.4,sit and wait
Agama_impalearis,Oviparous,81.6,sit and wait
Agama_kirkii,Oviparous,107.1,sit and wait
Alopoglossus_angulatus,Oviparous,65.2,widely foraging
Alopoglossus_atriventris,Oviparous,67.5,widely foraging
Ameiva_ameiva,Oviparous,116.9,widely foraging
Ameiva_parecis,Oviparous,107.2,widely foraging
Ameivula_ocellifera,Oviparous,80.8,widely foraging
Amphibolurus_muricatus,Oviparous,92.2,sit and wait
Amphibolurus_norrisi,Oviparous,91.6,sit and wait
Anepischetosia_maccoyi,Oviparous,70.4,widely foraging
Anguis_fragilis,Viviparous,157.8,widely foraging
Anniella_geronimensis,Viviparous,78.6,widely foraging
Anniella_pulchra,Viviparous,124.6,widely foraging
Anolis_acutus,Oviparous,55.7,sit and wait
Anolis_aeneus,Oviparous,61.6,sit and wait
Anolis_agassizi,Oviparous,73.1,mixed
Anolis_angusticeps,Oviparous,41,widely foraging
Anolis_auratus,Oviparous,53.4,sit and wait
Anolis_barbatus,Oviparous,135.2,sit and wait
Anolis_barbouri,Oviparous,45.4,sit and wait
Anolis_biporcatus,Oviparous,77.8,sit and wait
Anolis_brasiliensis,Oviparous,71.9,sit and wait
Anolis_capito,Oviparous,74.9,sit and wait
Anolis_carolinensis,Oviparous,59.6,sit and wait
Anolis_carpenteri,Oviparous,71.9,sit and wait
Anolis_christophei,Oviparous,52.8,sit and wait
Anolis_chrysolepis,Oviparous,74.9,mixed
Anolis_cristatellus,Oviparous,60.2,sit and wait
Anolis_cupreus,Oviparous,48.4,sit and wait
Anolis_fuscoauratus,Oviparous,44.6,sit and wait
Anolis_garmani,Oviparous,74.9,sit and wait
Anolis_gemmosus,Oviparous,74.3,sit and wait
Anolis_grahami,Oviparous,49.9,sit and wait
Anolis_gundlachi,Oviparous,46.6,sit and wait
Anolis_heterodermus,Oviparous,60.2,widely foraging
Anolis_homolechis,Oviparous,44,mixed
Anolis_humilis,Oviparous,44.6,mixed
Anolis_krugi,Oviparous,42.5,sit and wait
Anolis_lemurinus,Oviparous,67.5,sit and wait
Anolis_limifrons,Oviparous,41,sit and wait
Anolis_lineatopus,Oviparous,57.2,sit and wait
Anolis_lionotus,Oviparous,73.4,sit and wait
Anolis_luciae,Oviparous,63.1,sit and wait
Anolis_meridionalis,Oviparous,71.3,mixed
Anolis_nebulosus,Oviparous,48.4,mixed
Anolis_oculatus,Oviparous,62.2,sit and wait
Anolis_opalinus,Oviparous,52.2,sit and wait
Anolis_ortonii,Oviparous,55.1,sit and wait
Anolis_oxylophus,Oviparous,71.9,sit and wait
Anolis_planiceps,Oviparous,71.9,sit and wait
Anolis_poecilopus,Oviparous,80.7,sit and wait
Anolis_polylepis,Oviparous,51.3,sit and wait
Anolis_punctatus,Oviparous,71.9,sit and wait
Anolis_sagrei,Oviparous,42.5,sit and wait
Anolis_scypheus,Oviparous,82.2,sit and wait
Anolis_tandai,Oviparous,76.3,sit and wait
Anolis_trachyderma,Oviparous,70.4,sit and wait
Anolis_transversalis,Oviparous,107.2,sit and wait
Anolis_tropidolepis,Oviparous,55.7,sit and wait
Anolis_valencienni,Oviparous,64,widely foraging
Anotosaura_vanzolinia,Oviparous,57.9,widely foraging
Aristelliger_cochranae,Oviparous,56.6,widely foraging
Aristelliger_praesignis,Oviparous,63.8,sit and wait
Arthrosaura_reticulata,Oviparous,70.8,widely foraging
Aspidoscelis_burti,Oviparous,97.9,widely foraging
Aspidoscelis_deppii,Oviparous,90.1,widely foraging
Aspidoscelis_exsanguis,Oviparous,103.5,widely foraging
Aspidoscelis_gularis,Oviparous,96.3,widely foraging
Aspidoscelis_guttatus,Oviparous,104.1,widely foraging
Aspidoscelis_hyperythrus,Oviparous,80.8,widely foraging
